,Asset_ID,ds,y
0,1051822,2023-09-01,0.0
1,1051822,2023-09-01,39.0
2,1051822,2023-09-02,22.0
3,1051822,2023-09-02,30.0
4,1051822,2023-09-03,0.0
5,1051822,2023-09-03,94.0
6,1051822,2023-09-04,0.0
7,1051822,2023-09-04,7.0
8,1051822,2023-09-05,11.0
9,1051822,2023-09-05,37.0
10,1051822,2023-09-06,9.0
11,1051822,2023-09-06,45.0
12,1051822,2023-09-07,0.0
13,1051822,2023-09-07,8.0
14,1051822,2023-09-08,36.0
15,1051822,2023-09-08,29.0
16,1051822,2023-09-09,85.0
17,1051822,2023-09-09,65.0
18,1051822,2023-09-10,91.0
19,1051822,2023-09-10,9.0
20,1051822,2023-09-11,0.0
21,1051822,2023-09-11,23.0
22,1051822,2023-09-12,1.0
23,1051822,2023-09-12,0.0
24,1051822,2023-09-13,2.0
25,1051822,2023-09-13,0.0
26,1051822,2023-09-14,0.0
27,1051822,2023-09-14,0.0
28,1051822,2023-09-15,0.0
29,1051822,2023-09-15,0.0
30,1051822,2023-09-16,10.0
31,1051822,2023-09-16,0.0
32,1051822,2023-09-17,0.0
33,1051822,2023-09-17,
34,1051822,2023-09-18,0.0
35,1051822,2023-09-18,10.0
36,1051822,2023-09-19,0.0
37,1051822,2023-09-19,38.0
38,1051822,2023-09-20,14.0
39,1051822,2023-09-20,29.0
40,1051822,2023-09-21,0.0
41,1051822,2023-09-21,4.0
42,1051822,2023-09-22,0.0
43,1051822,2023-09-22,38.0
44,1051822,2023-09-23,0.0
45,1051822,2023-09-23,45.0
46,1051822,2023-09-24,58.0
47,1051822,2023-09-24,29.0
48,1051822,2023-09-25,1.0
49,1051822,2023-09-25,8.0
50,1051822,2023-09-26,3.0
51,1051822,2023-09-26,42.0
52,1051822,2023-09-27,78.0
53,1051822,2023-09-27,16.0
54,1051822,2023-09-28,0.0
55,1051822,2023-09-28,7.0
56,1051822,2023-09-29,1.0
57,1051822,2023-09-29,63.0
58,1051822,2023-09-30,71.0
59,1051822,2023-09-30,61.0
60,1051822,2023-10-01,7.0
61,1051822,2023-10-01,30.0
62,1051822,2023-10-02,0.0
63,1051822,2023-10-02,0.0
64,1051822,2023-10-03,0.0
65,1051822,2023-10-03,37.0
66,1051822,2023-10-04,0.0
67,1051822,2023-10-04,99.0
68,1051822,2023-10-05,6.0
69,1051822,2023-10-06,56.0
70,1051822,2023-10-07,10.0
71,1051822,2023-10-07,
72,1051822,2023-10-08,21.0
73,1051822,2023-10-08,89.0
74,1051822,2023-10-09,0.0
75,1051822,2023-10-09,4.0
76,1051822,2023-10-10,18.0
77,1051822,2023-10-10,2.0
78,1051822,2023-10-11,68.0
79,1051822,2023-10-11,56.0
80,1051822,2023-10-12,18.0
81,1051822,2023-10-12,20.0
82,1051822,2023-10-13,4.0
83,1051822,2023-10-13,32.0
84,1051822,2023-10-14,26.0
85,1051822,2023-10-14,
86,1051822,2023-10-15,63.0
87,1051822,2023-10-15,
88,1051822,2023-10-16,8.0
89,1051822,2023-10-16,
90,1051822,2023-10-17,0.0
91,1051822,2023-10-17,39.0
92,1051822,2023-10-18,0.0
93,1051822,2023-10-18,8.0
94,1051822,2023-10-19,9.0
95,1051822,2023-10-19,6.0
96,1051822,2023-10-20,0.0
97,1051822,2023-10-20,39.0
98,1051822,2023-10-21,39.0
99,1051822,2023-10-21,28.0
100,1051822,2023-10-22,0.0
101,1051822,2023-10-22,65.0
102,1051822,2023-10-23,0.0
103,1051822,2023-10-23,31.0
104,1051822,2023-10-24,0.0
105,1051822,2023-10-24,61.0
106,1051822,2023-10-25,91.0
107,1051822,2023-10-26,15.0
108,1051822,2023-10-26,2.0
109,1051822,2023-10-27,0.0
110,1051822,2023-10-27,32.0
111,1051822,2023-10-28,70.0
112,1051822,2023-10-28,95.0
113,1051822,2023-10-29,0.0
114,1051822,2023-10-29,95.0
115,1051822,2023-10-30,8.0
116,1051822,2023-10-30,77.0
117,1051822,2023-10-31,7.0
118,1051822,2023-10-31,65.0
119,1051822,2023-11-01,0.0
120,1051822,2023-11-01,0.0
121,1051822,2023-11-02,10.0
122,1051822,2023-11-02,25.0
123,1051822,2023-11-03,1.0
124,1051822,2023-11-03,37.0
125,1051822,2023-11-04,88.0
126,1051822,2023-11-04,43.0
127,1051822,2023-11-05,12.0
128,1051822,2023-11-05,40.0
129,1051822,2023-11-06,0.0
130,1051822,2023-11-06,12.0
131,1051822,2023-11-07,0.0
132,1051822,2023-11-07,37.0
133,1051822,2023-11-08,4.0
134,1051822,2023-11-08,45.0
135,1051822,2023-11-09,29.0
136,1051822,2023-11-09,28.0
137,1051822,2023-11-10,0.0
138,1051822,2023-11-10,29.0
139,1051822,2023-11-11,11.0
140,1051822,2023-11-11,47.0
141,1051822,2023-11-12,0.0
142,1051822,2023-11-12,
143,1051822,2023-11-13,0.0
144,1051822,2023-11-13,2.0
145,1051822,2023-11-14,4.0
146,1051822,2023-11-14,60.0
147,1051822,2023-11-15,0.0
148,1051822,2023-11-15,4.0
149,1051822,2023-11-16,0.0
150,1051822,2023-11-16,74.0
151,1051822,2023-11-17,0.0
152,1051822,2023-11-17,3.0
153,1051822,2023-11-18,30.0
