Asset_ID,Date,Daily_mileage
1036708,11/23/2023 0:00,10
1051822,11/23/2023 0:00,1
1036708,11/24/2023 0:00,0
1051822,11/24/2023 0:00,5
1036708,11/25/2023 0:00,11
1051822,11/25/2023 0:00,63
1036708,11/26/2023 0:00,0
1051822,11/26/2023 0:00,88
1036708,11/27/2023 0:00,0
1051822,11/27/2023 0:00,18
1036708,11/28/2023 0:00,0
1051822,11/28/2023 0:00,31
1036708,11/29/2023 0:00,2
1051822,11/29/2023 0:00,4
1036708,11/30/2023 0:00,35
1051822,11/30/2023 0:00,92
1036708,12/1/2023 0:00,30
1051822,12/1/2023 0:00,72
1036708,12/2/2023 0:00,19
1051822,12/2/2023 0:00,69
1036708,12/3/2023 0:00,6
1051822,12/3/2023 0:00,103
1036708,12/4/2023 0:00,11
1051822,12/4/2023 0:00,68
1036708,12/5/2023 0:00,0
1051822,12/5/2023 0:00,37
1036708,12/6/2023 0:00,9
1051822,12/6/2023 0:00,11
1036708,12/7/2023 0:00,0
1051822,12/7/2023 0:00,58
1036708,12/8/2023 0:00,0
1051822,12/8/2023 0:00,66
1036708,12/9/2023 0:00,13
1051822,12/9/2023 0:00,60
1036708,12/10/2023 0:00,0
1051822,12/10/2023 0:00,75
1036708,12/11/2023 0:00,0
1051822,12/11/2023 0:00,4
1036708,12/12/2023 0:00,8
1051822,12/12/2023 0:00,40
1036708,12/13/2023 0:00,0
1051822,12/13/2023 0:00,12
1036708,12/14/2023 0:00,0
1051822,12/14/2023 0:00,33
1036708,12/15/2023 0:00,0
1051822,12/15/2023 0:00,55
1036708,12/16/2023 0:00,44
1051822,12/16/2023 0:00,61
1036708,12/17/2023 0:00,5
1051822,12/17/2023 0:00,59
1036708,12/18/2023 0:00,0
1051822,12/18/2023 0:00,12
1036708,12/19/2023 0:00,0
1051822,12/19/2023 0:00,44
1036708,12/20/2023 0:00,36
1051822,12/20/2023 0:00,12
1036708,12/21/2023 0:00,0
1051822,12/21/2023 0:00,52
1036708,12/22/2023 0:00,0
1051822,12/22/2023 0:00,116
1036708,12/23/2023 0:00,29
1051822,12/23/2023 0:00,80
1036708,12/24/2023 0:00,18
1051822,12/24/2023 0:00,85
1036708,12/25/2023 0:00,43
1051822,12/25/2023 0:00,16
1036708,12/26/2023 0:00,47
1051822,12/26/2023 0:00,15
1036708,12/27/2023 0:00,0
1051822,12/27/2023 0:00,33
1036708,12/28/2023 0:00,0
1051822,12/28/2023 0:00,33
1036708,12/29/2023 0:00,0
1051822,12/29/2023 0:00,30
1036708,12/30/2023 0:00,120
1051822,12/30/2023 0:00,123
1036708,12/31/2023 0:00,27
1051822,12/31/2023 0:00,34
1036708,1/1/2024 0:00,13
1051822,1/1/2024 0:00,28
1036708,1/2/2024 0:00,0
1051822,1/2/2024 0:00,68
1036708,1/3/2024 0:00,0
1051822,1/3/2024 0:00,26
1036708,1/4/2024 0:00,0
1051822,1/4/2024 0:00,59
1036708,1/5/2024 0:00,51
1051822,1/5/2024 0:00,48
1036708,1/6/2024 0:00,24
1051822,1/6/2024 0:00,78
1036708,1/7/2024 0:00,7
1051822,1/7/2024 0:00,38
1036708,1/8/2024 0:00,10
1051822,1/8/2024 0:00,4
1036708,1/9/2024 0:00,12
1051822,1/9/2024 0:00,49
1036708,1/10/2024 0:00,0
1051822,1/10/2024 0:00,52
1036708,1/11/2024 0:00,0
1051822,1/11/2024 0:00,27
1036708,1/12/2024 0:00,0
1051822,1/12/2024 0:00,8
1036708,1/13/2024 0:00,56
1051822,1/13/2024 0:00,57
1036708,1/14/2024 0:00,0
1051822,1/14/2024 0:00,37
1036708,1/15/2024 0:00,0
1051822,1/15/2024 0:00,0
1036708,1/16/2024 0:00,0
1051822,1/16/2024 0:00,43
1036708,1/17/2024 0:00,0
1051822,1/17/2024 0:00,86
1036708,1/18/2024 0:00,5
1051822,1/18/2024 0:00,10
1036708,1/19/2024 0:00,5
1051822,1/19/2024 0:00,30
1036708,1/20/2024 0:00,29
1051822,1/20/2024 0:00,23
1036708,1/21/2024 0:00,8
1051822,1/21/2024 0:00,66
1036708,1/22/2024 0:00,4
1051822,1/22/2024 0:00,17
1036708,1/23/2024 0:00,0
1051822,1/23/2024 0:00,41
1036708,1/24/2024 0:00,5
1051822,1/24/2024 0:00,11
1036708,1/25/2024 0:00,0
1051822,1/25/2024 0:00,5
1036708,1/26/2024 0:00,0
1051822,1/26/2024 0:00,65
1036708,1/27/2024 0:00,17
1051822,1/27/2024 0:00,31
1036708,1/28/2024 0:00,14
1051822,1/28/2024 0:00,7
1036708,1/29/2024 0:00,0
1051822,1/29/2024 0:00,30
1036708,1/30/2024 0:00,5
1051822,1/30/2024 0:00,43
1051822,1/31/2024 0:00,48
1051822,2/1/2024 0:00,18
1051822,2/5/2024 0:00,10
1051822,2/10/2024 0:00,43
1051822,2/11/2024 0:00,62
1051822,2/12/2024 0:00,9
1051822,2/13/2024 0:00,43
1051822,2/14/2024 0:00,21
1036708,2/15/2024 0:00,13
1051822,2/15/2024 0:00,0
1051822,2/16/2024 0:00,58
1036708,2/17/2024 0:00,6
1051822,2/17/2024 0:00,48
1051822,2/18/2024 0:00,39
1051822,2/29/2024 0:00,53
1051822,3/1/2024 0:00,87
1051822,3/2/2024 0:00,38
1051822,3/3/2024 0:00,64
1051822,3/4/2024 0:00,41
1051822,3/5/2024 0:00,62
1051822,3/6/2024 0:00,26
1051822,3/7/2024 0:00,11
1051822,3/8/2024 0:00,17
1051822,3/9/2024 0:00,63
1051822,3/10/2024 0:00,32
1051822,3/11/2024 0:00,10
1051822,3/12/2024 0:00,49
1051822,3/13/2024 0:00,2
1036708,3/14/2024 0:00,1
1051822,3/14/2024 0:00,35
1036708,3/15/2024 0:00,0
1051822,3/15/2024 0:00,56
1036708,3/16/2024 0:00,30
1051822,3/16/2024 0:00,33
1036708,3/17/2024 0:00,42
1051822,3/17/2024 0:00,46
1051822,3/18/2024 0:00,19
1036708,3/19/2024 0:00,115
1051822,3/19/2024 0:00,38
1051822,3/20/2024 0:00,0
1051822,3/21/2024 0:00,5
1051822,3/22/2024 0:00,27
1036708,3/23/2024 0:00,18
1051822,3/23/2024 0:00,18
1036708,3/24/2024 0:00,14
1051822,3/24/2024 0:00,105
1036708,3/25/2024 0:00,7
1051822,3/25/2024 0:00,24
1036708,3/26/2024 0:00,8
1051822,3/26/2024 0:00,102
1051822,3/27/2024 0:00,0
1036708,3/28/2024 0:00,0
1051822,3/28/2024 0:00,7
1036708,3/29/2024 0:00,23
1051822,3/29/2024 0:00,34
1036708,3/30/2024 0:00,8
1051822,3/30/2024 0:00,16
1036708,3/31/2024 0:00,6
1051822,3/31/2024 0:00,28
1036708,4/1/2024 0:00,0
1051822,4/1/2024 0:00,58
1036708,4/2/2024 0:00,0
1051822,4/2/2024 0:00,57
1036708,4/3/2024 0:00,9
1051822,4/3/2024 0:00,25
1036708,4/4/2024 0:00,12
1051822,4/4/2024 0:00,23
1036708,4/5/2024 0:00,5
1051822,4/5/2024 0:00,11
1036708,4/6/2024 0:00,42
1051822,4/6/2024 0:00,77
1036708,4/7/2024 0:00,90
1051822,4/7/2024 0:00,90
1036708,4/8/2024 0:00,0
1051822,4/8/2024 0:00,2
1036708,4/9/2024 0:00,0
1051822,4/9/2024 0:00,17
1036708,4/10/2024 0:00,31
1051822,4/10/2024 0:00,2
1036708,4/11/2024 0:00,20
1051822,4/11/2024 0:00,59
1036708,4/12/2024 0:00,0
1051822,4/12/2024 0:00,3
1036708,4/13/2024 0:00,53
1051822,4/13/2024 0:00,82
1036708,4/14/2024 0:00,32
1051822,4/14/2024 0:00,102
1036708,4/15/2024 0:00,25
1051822,4/15/2024 0:00,0
1036708,4/16/2024 0:00,0
1051822,4/16/2024 0:00,37
1036708,4/17/2024 0:00,0
1051822,4/17/2024 0:00,6
1036708,4/18/2024 0:00,26
1051822,4/18/2024 0:00,21
1036708,4/19/2024 0:00,11
1051822,4/19/2024 0:00,10
1036708,4/20/2024 0:00,15
1051822,4/20/2024 0:00,29
1036708,4/21/2024 0:00,2
1051822,4/21/2024 0:00,37
1036708,4/22/2024 0:00,6
1051822,4/22/2024 0:00,3
1036708,4/23/2024 0:00,0
1051822,4/23/2024 0:00,34
1036708,4/24/2024 0:00,0
1051822,4/24/2024 0:00,39
1036708,4/25/2024 0:00,33
1051822,4/25/2024 0:00,33
1036708,4/26/2024 0:00,27
1051822,4/26/2024 0:00,0
1036708,4/27/2024 0:00,22
1051822,4/27/2024 0:00,142
1036708,4/28/2024 0:00,34
1051822,4/28/2024 0:00,49
1036708,4/29/2024 0:00,36
1051822,4/29/2024 0:00,28
